predictions,mean,std,sharpe,max_drawdown
predictions_model_meta_weighted,0.0244881077098418,0.021301907343487338,1.14957347785707,0.03563635110450036
predictions_model_meta_lgbm,0.025369880499252897,0.01980689853093629,1.2808608303631088,0.02806179363303829
predictions_model_omega,0.025356059504719138,0.020706208158517002,1.224563150848531,0.032522607595916186
predictions_model_target_agnes_20,0.013948447024507062,0.016469386595823646,0.8469317872496932,0.02937936668866914
neutralized_predictions_model_target_agnes_20,0.014209748787970454,0.014461535359761458,0.9825892226843639,0.033646326604369614
predictions_model_target_agnes_60,0.011685220097637613,0.016257753349604262,0.7187475321073221,0.0321866122124036
neutralized_predictions_model_target_agnes_60,0.01415100184478636,0.016451880052586264,0.8601449682075575,0.02805473138760714
predictions_model_target_alpha_20,0.01935189992665936,0.021614572926671047,0.89531724694779,0.03976063970829902
neutralized_predictions_model_target_alpha_20,0.019714862078590526,0.021211545231925505,0.9294401639781377,0.036876588859266035
predictions_model_target_alpha_60,0.017573898003301506,0.020896251062220834,0.8410072194755573,0.026419192628839183
neutralized_predictions_model_target_alpha_60,0.018089439626750782,0.020204924347193003,0.895298557713426,0.024383926806922807
predictions_model_target_bravo_20,0.020545910228013543,0.019873362173536774,1.0338416845928733,0.03182215161964086
neutralized_predictions_model_target_bravo_20,0.021891033096944977,0.018427435484498107,1.1879587431121703,0.029074839252480444
predictions_model_target_bravo_60,0.019273350722326756,0.019825632525560327,0.9721430424718335,0.031540576142989635
neutralized_predictions_model_target_bravo_60,0.01893352076169727,0.018413960286592247,1.028215574869211,0.025717043443135412
predictions_model_target_caroline_20,0.02002016637822104,0.021635484727178064,0.9253393963978125,0.045377062758009346
neutralized_predictions_model_target_caroline_20,0.020995464588480565,0.020227986545109048,1.0379413957815335,0.04343881323021248
predictions_model_target_caroline_60,0.01986819692990341,0.021317596803739892,0.9320092275325235,0.04448512683554118
neutralized_predictions_model_target_caroline_60,0.020720427489509762,0.020305568078189003,1.0204308202421766,0.04416252285265587
predictions_model_target_charlie_20,0.020909224652748835,0.020619713521367773,1.0140405021185697,0.021078433932037566
neutralized_predictions_model_target_charlie_20,0.021971026631660995,0.020061684979553632,1.0951735437005075,0.017173183517083523
predictions_model_target_charlie_60,0.019815427673571636,0.02157989738271601,0.9182354912142636,0.023621723960672192
neutralized_predictions_model_target_charlie_60,0.02022276465618235,0.021025316367132247,0.9618292682527962,0.02071664196949974
predictions_model_target_claudia_20,0.02050957847956945,0.02018549032148168,1.0160555009031846,0.028211977521056086
neutralized_predictions_model_target_claudia_20,0.020448952084196923,0.019484476992915604,1.049499665381421,0.02714099348422805
predictions_model_target_claudia_60,0.017153682710609457,0.021146218208576463,0.8111938759646528,0.032239202887281104
neutralized_predictions_model_target_claudia_60,0.016904427182613386,0.02043104566848971,0.8273892319023427,0.03587136131298685
predictions_model_target,0.021074331010331234,0.02163727820550085,0.9739825319144579,0.041989209807464456
neutralized_predictions_model_target,0.022002979990098356,0.01979373919635445,1.111613110177323,0.034809692650910495
predictions_model_target_cyrusd_60,0.020807037299497656,0.022079470998579542,0.9423702814635484,0.047373368693034434
neutralized_predictions_model_target_cyrusd_60,0.02201408464300586,0.021291015809242943,1.0339612182077764,0.03783777904257368
predictions_model_target_delta_20,0.019558415812903022,0.018528882632022924,1.055563694871745,0.023408047498322926
neutralized_predictions_model_target_delta_20,0.022634898880656232,0.018475580383963217,1.2251251874232487,0.02343725560726706
predictions_model_target_delta_60,0.018788367264234336,0.018590103998101647,1.0106649896177522,0.024047195014817502
neutralized_predictions_model_target_delta_60,0.0209390066588691,0.01945459218433715,1.076301495321349,0.017785259865270797
predictions_model_target_echo_20,0.020551519659522142,0.021333712945041154,0.9633353421631734,0.031031354681583356
neutralized_predictions_model_target_echo_20,0.021887870849599766,0.018839322793785838,1.1618183460829863,0.03387041487570075
predictions_model_target_echo_60,0.019125190535758972,0.021084225156707253,0.9070852921372319,0.027512077282129344
neutralized_predictions_model_target_echo_60,0.020239218458656987,0.01964032007658735,1.0304933106860903,0.03090308141259157
predictions_model_target_jeremy_20,0.014545332365918073,0.020483691512434152,0.7100933128722752,0.055107141785053604
neutralized_predictions_model_target_jeremy_20,0.016899935259303386,0.020564299222744796,0.8218094415107273,0.03565954070312927
predictions_model_target_jeremy_60,0.012774332409123162,0.01898016989390365,0.6730357252084568,0.03461573722111555
neutralized_predictions_model_target_jeremy_60,0.012689088954547874,0.018656867553340506,0.6801296583292674,0.05787437884292845
predictions_model_target_ralph_20,0.020628959841449593,0.02314348407055341,0.8913506617483247,0.03940130826686661
neutralized_predictions_model_target_ralph_20,0.0217890135383829,0.021004343915301076,1.0373574926332365,0.03156886448291085
predictions_model_target_ralph_60,0.020299170302584723,0.022240804698262447,0.9126994539082746,0.030267775752501613
neutralized_predictions_model_target_ralph_60,0.02003770724145414,0.019833741074950416,1.010283796976725,0.027573526924811076
predictions_model_target_rowan_20,0.019011735436407315,0.0200787744793808,0.9468573620332633,0.02861631549047694
neutralized_predictions_model_target_rowan_20,0.0190978095483765,0.01894686144446209,1.0079669186559936,0.029761071826113317
predictions_model_target_rowan_60,0.017373204522513706,0.02051437969374573,0.8468793491138471,0.03813850475855762
neutralized_predictions_model_target_rowan_60,0.017255044470922444,0.019633127581147367,0.8788739542186611,0.034483946431448365
predictions_model_target_sam_20,0.019989263824795964,0.021701614883326198,0.921095684918551,0.03619336147175367
neutralized_predictions_model_target_sam_20,0.020782732515312086,0.020286072822333884,1.0244827915845498,0.030012314857920774
predictions_model_target_sam_60,0.019973532867057598,0.021234727928235317,0.9406069592490169,0.04485196067934427
neutralized_predictions_model_target_sam_60,0.020168976441680263,0.019841062218336265,1.0165270497988235,0.04419149003755807
